iter	Passed	Remaining
129	79782	227073
130	80424	226539
131	81035	225916
132	81643	225285
133	82255	224668
134	82885	224097
135	83486	223448
136	84091	222812
137	84699	222182
138	85313	221570
139	85916	220927
140	86524	220299
141	87146	219706
142	87759	219092
143	88356	218436
144	88956	217791
145	89575	217190
146	90185	216568
147	90788	215928
148	91392	215293
149	92013	214698
150	92619	214066
151	93304	213618
152	93905	212975
153	94521	212367
154	95132	211746
155	95745	211131
156	96358	210515
157	96985	209930
158	97613	209347
159	98219	208716
160	98823	208081
161	99467	207531
162	100157	207074
163	100842	206603
164	101514	206104
165	102190	205611
166	102828	205042
167	103461	204459
168	104146	203979
169	104769	203376
170	105391	202771
171	106038	202212
172	106684	201651
173	107339	201106
174	107973	200521
175	108593	199910
176	109214	199300
177	109915	198835
178	110567	198279
179	111202	197693
180	111844	197117
181	112472	196518
182	113104	195923
183	113740	195337
184	114403	194795
185	115081	194278
186	115786	193803
187	116499	193338
188	117177	192815
189	117865	192306
190	118506	191719
191	119126	191098
192	119773	190521
193	120442	189975
194	121110	189428
195	121800	188914
196	122415	188283
197	123120	187789
198	123833	187305
199	124539	186809
200	125246	186312
201	126097	186025
202	127149	186027
203	128189	185999
204	129070	185735
205	129799	185248
206	130534	184765
207	131289	184310
208	131912	183667
209	132587	183096
210	133238	182492
211	133875	181869
212	134499	181227
213	135104	180560
214	135745	179941
215	136363	179292
216	136968	178627
217	137611	178011
218	138277	177425
219	138919	176806
220	139548	176172
221	140148	175500
222	140768	174855
223	141368	174186
224	141984	173536
225	142647	172944
226	143277	172311
227	143880	171646
228	144492	170993
229	145104	170339
230	145738	169712
231	146369	169082
232	146989	168438
233	147627	167816
234	148257	167183
235	148862	166523
236	149485	165885
237	150114	165252
238	150726	164600
239	151343	163955
240	151957	163306
241	152609	162699
242	153231	162059
243	153845	161411
244	154449	160753
245	155077	160120
246	155687	159469
247	156297	158818
248	156915	158175
249	157555	157555
250	158178	156917
251	158808	156287
252	159434	155653
253	160052	155011
254	160673	154372
255	161293	153733
256	162143	153310
257	163034	152923
258	163954	152560
259	164894	152210
260	165857	151877
261	166782	151504
262	167709	151129
263	168512	150639
264	169265	150103
265	170015	149562
266	170783	149035
267	171440	148411
268	172066	147760
269	172700	147114
270	173299	146441
271	173913	145780
272	174521	145115
273	175173	144486
274	175786	143825
275	176406	143170
276	177009	142502
277	177670	141880
278	178310	141242
279	178970	140620
280	179586	139962
281	180197	139301
282	180799	138634
283	181426	137986
284	182037	137326
285	182645	136664
286	183266	136012
287	183867	135346
288	184478	134688
289	185065	134013
290	185677	133355
291	186276	132690
292	186906	132046
293	187499	131377
294	188118	130726
295	188723	130066
296	189348	129419
297	189951	128759
298	190576	128112
299	191166	127444
300	191789	126797
301	192382	126131
302	192984	125471
303	193582	124809
304	194204	124163
305	194809	123506
306	195413	122849
307	196028	122199
308	196682	121574
309	197313	120933
310	197972	120311
311	198592	119664
312	199205	119014
313	199837	118374
314	200449	117724
315	201061	117073
316	201661	116416
317	202263	115760
318	202872	115109
319	203494	114465
320	204095	113810
321	204694	113154
322	205295	112499
323	205920	111857
324	206519	111202
325	207134	110556
326	207728	109899
327	208350	109256
328	208950	108603
329	209551	107950
330	210150	107297
331	210786	106662
332	211392	106013
333	211999	105365
334	212609	104718
335	213317	104119
336	213929	103473
337	214539	102826
338	215185	102197
339	215888	101594
340	216523	100959
341	217138	100315
342	217742	99666
343	218349	99019
344	218947	98367
345	219575	97730
346	220185	97084
347	220789	96436
348	221390	95787
349	221991	95139
350	222610	94498
351	223210	93849
352	223825	93207
353	224469	92577
354	225111	91947
355	225705	91296
356	226310	90650
357	226902	90000
358	227524	89361
359	228122	88714
360	228730	88070
361	229342	87428
362	229965	86791
363	230569	86146
364	231167	85500
365	231768	84855
366	232389	84217
367	233018	83582
368	233615	82936
369	234229	82297
370	234849	81659
371	235448	81014
372	236059	80373
373	236664	79731
374	237306	79102
375	237923	78464
376	238531	77823
377	239152	77186
378	239764	76547
379	240359	75903
380	240964	75261
381	241570	74621
382	242181	73982
383	242779	73339
384	243388	72700
385	244008	72064
386	244618	71426
387	245225	70786
388	245821	70144
389	246451	69511
390	247058	68873
391	247670	68235
392	248275	67596
393	248899	66962
394	249496	66321
395	250103	65683
396	250713	65046
397	251363	64419
